TDate,Nat,Name,InOut,ClubFrom,DivFrom,ClubTo,DivTo,Amount,ClubFromID,ClubToID,Year_F,date,month,player_id
01-Jul,Espagne,Ander Capa,in,Eibar,Spain,Athletic Bilbao,Spain,3,26,22,2018,1,7,130377
02-Jul,Espagne,Yuri Berchiche,in,Paris S-G,France,Athletic Bilbao,Spain,24,75,22,2018,2,7,56057
19-Jun,France,Thomas Lemar,in,Monaco,France,Atlético Madrid,Spain,65,70,23,2018,19,6,132962
01-Jul,Espagne,Rodri,in,Villarreal,Spain,Atlético Madrid,Spain,25,40,23,2018,1,7,303139
05-Jul,Espagne,Antonio Adán,in,Real Betis,Spain,Atlético Madrid,Spain,1,24,23,2018,5,7,23285
09-Aug,Croatie,Nikola Kalinic,in,AC Milan,Italy,Atlético Madrid,Spain,15,41,23,2018,9,8,25091
31-Aug,Argentine,G.  Lo Celso,in,Paris S-G,France,Real Betis,Spain,25,75,24,2018,31,8,303908
30-Aug,Argentine,Pablo de Blasis,in,Mainz,Germany,Eibar,Spain,2,92,26,2018,30,8,41395
09-Jul,Espagne,Borja Iglesias,in,Celta Vigo,Spain,Espanyol,Spain,10,25,27,2018,9,7,259042
12-Jul,France,C.  Lenglet,in,Sevilla FC,Spain,FC Barcelona,Spain,35.9,29,28,2018,12,7,236511
24-Jul,Brésil,Malcom,in,Bordeaux,France,FC Barcelona,Spain,41,63,28,2018,24,7,146780
03-Aug,Chili,Arturo Vidal,in,Bayern Munich,Germany,FC Barcelona,Spain,18,83,28,2018,3,8,25008
01-Jul,Cameroun,Ibrahim Amadou,in,Lille,France,Sevilla FC,Spain,15,67,29,2018,1,7,118885
25-Jul,Espagne,Sergi Gomez,in,Celta Vigo,Spain,Sevilla FC,Spain,5,25,29,2018,25,7,90778
26-Jul,France,Joris Gnagnon,in,Rennes,France,Sevilla FC,Spain,15,77,29,2018,26,7,298545
04-Aug,Espagne,Aleix Vidal,in,FC Barcelona,Spain,Sevilla FC,Spain,8.5,28,29,2018,4,8,82630
28-Jun,France,M.  Diakhaby,in,Lyon,France,Valencia CF,Spain,15,68,30,2018,28,6,322095
09-Jul,Danemark,Daniel Wass,in,Celta Vigo,Spain,Valencia CF,Spain,6,25,30,2018,9,7,27254
12-Aug,France,Kevin Gameiro,in,Atlético Madrid,Spain,Valencia CF,Spain,16,23,30,2018,12,8,19453
